Flight #,Angle,Height,Temp,Waveform
315.000,314.000,150.000,21.774,0.000
316.000,315.000,150.000,21.714,0.000
317.000,316.000,150.000,21.772,0.000
318.000,317.000,150.000,21.774,0.000
319.000,318.000,150.000,21.774,0.000
320.000,319.000,150.000,21.774,0.000
321.000,320.000,150.000,21.714,0.000
322.000,321.000,150.000,21.714,0.000
323.000,322.000,150.000,21.774,0.000
324.000,323.000,150.000,21.714,0.000
325.000,324.000,150.000,21.712,0.000
326.000,325.000,150.000,21.772,0.000
327.000,326.000,150.000,21.774,0.000
328.000,327.000,150.000,21.772,0.000
329.000,328.000,150.000,21.777,0.000
330.000,329.000,150.000,21.709,0.000
331.000,330.000,150.000,21.717,0.000
332.000,331.000,150.000,21.774,0.000
333.000,332.000,150.000,21.777,0.000
334.000,333.000,150.000,21.777,0.000
335.000,334.000,150.000,21.712,0.000
336.000,335.000,150.000,21.712,0.000
337.000,336.000,150.000,21.712,0.000
338.000,337.000,150.000,21.777,0.000
339.000,338.000,150.000,21.777,0.000
340.000,339.000,150.000,21.774,0.000
341.000,340.000,150.000,21.712,0.000
342.000,341.000,150.000,21.774,0.000
343.000,342.000,150.000,21.714,0.000
344.000,343.000,150.000,21.774,0.000
345.000,344.000,150.000,21.772,0.000
346.000,345.000,150.000,21.780,0.000
347.000,346.000,150.000,21.714,0.000
348.000,347.000,150.000,21.712,0.000
349.000,348.000,150.000,21.780,0.000
350.000,349.000,150.000,21.783,0.000
351.000,350.000,150.000,21.717,0.000
352.000,351.000,150.000,21.717,0.000
353.000,352.000,150.000,21.783,0.000
354.000,353.000,150.000,21.717,0.000
355.000,354.000,150.000,21.783,0.000
356.000,355.000,150.000,21.777,0.000
357.000,356.000,150.000,21.783,0.000
358.000,357.000,150.000,21.783,0.000
359.000,358.000,150.000,21.780,0.000
360.000,359.000,150.000,21.783,0.000
